district,district_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nandurbar,01,323521,1648295,833170,815125,240222,47985,1141933,906509,792065,664193,127872,856230
Dhule,02,408874,2050862,1054031,996831,273507,127571,647315,1293916,936370,825875,110495,1114492
Jalgaon,03,903643,4229917,2197365,2032552,532005,389273,604367,2891882,1863571,1643955,219616,2366346
Buldana,04,561504,2586258,1337560,1248698,332125,470895,124837,1879874,1219641,1107542,112099,1366617
Akola,05,395690,1813906,932334,881572,211080,364059,100280,1411281,768154,691025,77129,1045752
Washim,06,259464,1197160,620302,576858,152190,229462,80471,869917,569792,502755,67037,627368
Amravati,07,647451,2888445,1480768,1407677,311391,506374,404128,2251875,1236322,1061544,174778,1652123
Wardha,08,309846,1300774,668385,632389,128901,188830,149507,1019458,608235,529623,78612,692539
Nagpur,09,1041544,4653570,2384975,2268595,497087,867713,437571,3673808,1868560,1654778,213782,2785010
Bhandara,10,278076,1200334,605520,594814,126025,200372,88886,899860,597305,413838,183467,603029
Gondiya,11,292369,1322507,661554,660953,140365,175961,214253,1004243,665419,433962,231457,657088
Gadchiroli,12,250435,1072942,541328,531614,120272,120745,415306,708365,584237,392886,191351,488705
Chandrapur,13,536686,2204307,1123834,1080473,231316,348365,389441,1578615,1058172,804433,253739,1146135
Yavatmal,14,646886,2772348,1419965,1352383,330180,328518,514057,2022574,1355999,1195100,160899,1416349
Nanded,15,665434,3361292,1730075,1631217,459572,640483,281695,2189425,1493953,1317791,176162,1867339
Hingoli,16,228868,1177345,606294,571051,165716,182565,111954,790743,569182,514371,54811,608163
Parbhani,17,361130,1836086,942870,893216,257320,247308,40514,1157814,822797,756417,66380,1013289
Jalna,18,391701,1959046,1011473,947573,287338,272266,42263,1195523,930886,844492,86394,1028160
Aurangabad,19,751915,3701282,1924469,1776813,532659,539368,143366,2503837,1575079,1446636,128443,2126203
Nashik,20,1222887,6107187,3157186,2950001,827935,554687,1564369,4345366,2763328,2523023,240305,3343859
Thane,21,2529165,11060148,5865078,5195070,1327146,730089,1542451,8227161,4492767,3930511,562256,6567381
Mumbai Suburban,22,2105604,9356962,5031323,4325639,930884,583302,104560,7575485,3735021,3515922,219099,5621941
Mumbai,23,674339,3085411,1684608,1400803,272886,219934,25093,2509022,1284396,1209334,75062,1801015
Raigarh,24,611790,2634200,1344345,1289855,300815,134952,305125,1939994,1072969,858825,214144,1561231
Pune,25,2151503,9429408,4924105,4505303,1104959,1180703,348876,7171723,4048993,3751221,297772,5380415
Ahmadnagar,26,930024,4543159,2342825,2200334,556014,573698,378230,3151890,2204590,2039455,165135,2338569
Bid,27,535835,2585049,1349106,1235943,352890,351254,32722,1718507,1255548,1154708,100840,1329501
Latur,28,481572,2454196,1273140,1181056,317811,480913,57488,1650672,1046857,964177,82680,1407339
Osmanabad,29,351281,1657576,861535,796041,207096,265184,36039,1137810,773916,701894,72022,883660
Solapur,30,873167,4317756,2227852,2089904,538453,649745,77592,2910676,1898395,1763175,135220,2419361
Satara,31,653735,3003741,1510842,1492899,317885,323236,29635,2225694,1354947,1184407,170540,1648794
Ratnagiri,32,397115,1615069,761121,853948,155560,66948,20374,1199392,714076,554973,159103,900993
Sindhudurg,33,209839,849651,417332,432319,71193,55586,6976,666067,347178,226538,120640,502473
Kolhapur,34,840240,3876001,1980658,1895343,408942,504461,30206,2825845,1704054,1508563,195491,2171947
Sangli,35,598386,2822143,1435728,1386415,306777,353093,18333,2049467,1215104,1074948,140156,1607039
