district,annual_pct_change,ci_low,ci_high,r_squared,p_value,n_years,mean_radiance_latest,median_radiance_latest,alan_class
Gondiya,8.57838824330235,7.194891897732516,10.189443401939572,0.8896127005555644,1.3451677678386612e-06,13,1.2242545497777209,0.848434329032898,low
Bhandara,8.823299927119365,7.60608831574319,10.197010433558777,0.9104513102241608,4.21550184212633e-07,13,1.235188488039379,0.8499308824539185,low
Jalgaon,8.668489121147438,7.521382596027893,10.574204282885018,0.9139658953889492,3.3768539228657826e-07,13,1.4484425630982818,0.85945725440979,low
Wardha,8.780676355450456,7.491052877446034,10.582452574182323,0.9146131244759295,3.238517896330759e-07,13,1.5347674551747958,0.9178944826126099,low
Buldana,9.565880366788493,8.466448738811062,11.280190750162246,0.932859845376838,8.560606019376392e-08,13,1.2268198041168659,0.8461580872535706,low
Akola,7.706036008207695,6.5161248501970865,9.028626882170817,0.9275074408045691,1.30846837042799e-07,13,1.5938778355847414,0.8785114288330078,low
Nashik,8.466542860859416,7.530117626899019,10.012808722778068,0.9489833283965914,1.8766947679359194e-08,13,1.9895023636753784,1.1586859226226807,medium
Gadchiroli,10.508182157865221,8.778398925582554,12.483047263131208,0.8740297052742121,2.8015055604626825e-06,13,1.0254337313147868,0.6932104825973511,low
Washim,8.76642315432119,7.405342076569971,10.194774948013029,0.9196881536735559,2.3066265920756732e-07,13,1.1507401962712398,0.7891085147857666,low
Chandrapur,8.184383306397237,7.02381322225375,9.559787408656101,0.9097964489765615,4.389187345751958e-07,13,1.6408248415813305,0.8938455581665039,low
Yavatmal,8.365076791392978,7.0105173006691,9.758911699832861,0.9249932410231514,1.5801398010845135e-07,13,1.1963974770046857,0.8376973867416382,low
Jalna,10.606026107457268,9.208191380114123,13.086336177962211,0.9150713668814491,3.143416018988637e-07,13,1.3214729766713222,0.8829218149185181,low
Ahmadnagar,9.259165550661175,8.447535128173019,10.352813447734905,0.9662341004854104,1.9244894463427426e-09,13,1.7617277764827501,1.3153884410858154,medium
Hingoli,10.284667226754184,8.703304497234978,12.470909201628787,0.9158336020940869,2.9903078871422485e-07,13,1.1349493449292818,0.846401572227478,low
Nanded,10.986922304443514,9.434068099938619,13.327525412210866,0.920417116871505,2.1930753762523852e-07,13,1.2364399271661846,0.8408234119415283,low
Parbhani,9.17789625329335,7.734210582616866,11.185297073762708,0.9119297530927797,3.8440543587505544e-07,13,1.2629477846550823,0.8283809423446655,low
Pune,8.281082525842876,7.765251405546703,8.984507046914878,0.982702477527503,4.825040096572132e-11,13,3.8603867998177175,1.7478562593460083,medium
Bid,9.488697479577347,8.281660720071073,11.60560625574684,0.9236454302120837,1.7438185139645107e-07,13,1.2802348708908593,0.9488866925239563,low
Mumbai,4.875947112481116,3.8697914869140577,6.087102921915251,0.9137381038363928,3.4266797684497365e-07,13,29.209228821182727,20.933027267456055,high
Latur,11.530760726880306,10.085299782828018,13.569482292413952,0.9331578577804265,8.352576406114291e-08,13,1.3544001895656474,0.8684122562408447,low
Osmanabad,10.877317759939874,9.523397201173168,13.057060997062871,0.9290142510276882,1.164917857774646e-07,13,1.159853851010101,0.847219705581665,low
Solapur,7.503634358438527,5.984667265082817,8.989423466591505,0.9323102855278877,8.955374229962483e-08,13,1.810381305087704,1.285198450088501,medium
Satara,8.973621415497469,7.782450284681516,10.860939255017977,0.9237696612657176,1.7281733407124974e-07,13,1.3320045333065118,0.9571149349212646,low
Ratnagiri,6.999990372592446,5.501180539131945,9.550952623994181,0.7568380518786939,0.00011068529116215556,13,1.315444157624548,0.7331041097640991,low
Sangli,8.97175502454064,7.927029074065446,10.69451236381363,0.934446472579743,7.50015872345047e-08,13,1.4753135647920472,0.9829328060150146,low
Kolhapur,6.997836133839197,5.755644467838708,9.01049127642703,0.8651629758780853,4.089849580291499e-06,13,1.5880762049960866,0.9229087829589844,low
Sindhudurg,8.75319073460652,7.257926917401288,11.464819948484825,0.8377231814058357,1.148069216712714e-05,13,0.903851948753669,0.7011094689369202,low
Thane,3.5968315338928747,2.1751008603439748,5.372900147590105,0.7301470387017931,0.00019916080139079054,13,6.28460273880408,1.694035291671753,medium
Palghar,5.792242785134016,4.894350257289028,6.876489728491325,0.9184936656902848,2.5030999760700383e-07,13,2.698978784818285,1.277435302734375,medium
Nandurbar,8.309234175869351,7.018026230330905,10.159024478618697,0.9139376778131689,3.3829936064636307e-07,13,1.1759255455172193,0.853425920009613,low
Amravati,7.838843483320801,6.558567420888361,9.505368522124103,0.909487657623932,4.473100766019478e-07,13,1.515465657497484,0.8683435916900635,low
Dhule,8.86688761380665,7.729300258866142,10.436970318863617,0.922882635756083,1.8424506228316294e-07,13,1.4035351364888973,0.8292859792709351,low
Nagpur,7.614328205258247,6.585161975784085,8.54420699369924,0.9382191224298971,5.404496670625224e-08,13,2.958041739112436,1.2011820077896118,medium
Aurangabad,9.735995798204545,8.685154437512285,11.699968495469586,0.9372103626051953,5.9106846460737244e-08,13,2.0082633975751527,1.007926106452942,medium
Raigarh,5.120022548799108,4.2613746551237135,6.654636556630526,0.8415946696374569,1.0033743689339197e-05,13,3.6677137173558214,1.3863978385925293,medium
Mumbai Suburban,2.420101824224141,1.005293882149212,3.1738366069510446,0.7067706261364256,0.00031868608567819473,13,27.354187622335797,21.521942138671875,high
