name,type,district,year,mean_radiance,median_radiance,min_radiance,max_radiance,std_radiance,valid_pixels,total_pixels,quality_pct,alan_class
Mumbai,city,Mumbai City,2024,26.482061709694417,16.024253845214844,1.3655197620391846,120.27027893066406,23.96769004416392,949,949,100.0,high
Pune,city,Pune,2024,26.345782868677635,26.210960388183594,3.616731882095337,77.62137603759766,10.310720628185456,1641,1641,100.0,high
Nagpur,city,Nagpur,2024,17.065743414100243,16.582809448242188,2.065922498703003,62.13945007324219,9.067727103006684,1656,1656,100.0,high
Thane,city,Thane,2024,17.181339039522058,11.08735466003418,2.0909535884857178,81.50389862060547,15.319420178634601,1632,1640,99.5,high
Pimpri-Chinchwad,city,Pune,2024,26.14441896024465,25.163997650146484,4.820098400115967,122.27885437011719,13.104047337855953,1635,1635,100.0,high
Lonar Crater,site,Buldhana,2024,0.9551244089981348,0.7297490835189819,0.4620774984359741,10.984027862548828,0.8631556174997981,1022,1648,62.0,low
Tadoba Tiger Reserve,site,Chandrapur,2024,0.5062592370169503,0.5192046165466309,0.4178783595561981,0.569029688835144,0.04830542151735723,7,1646,0.4,low
Pench Tiger Reserve,site,Nagpur,2024,0.6867373330252511,0.5963566303253174,0.4157524108886719,1.8218624591827393,0.3177120054140119,35,742,4.7,low
Udmal Tribal Village,site,Nashik,2024,0.5774045944213867,0.5512771606445312,0.43786880373954773,0.9884873628616333,0.10037049982455205,50,165,30.3,low
Kaas Plateau,site,Satara,2024,0.7433216866903548,0.6117678880691528,0.38713982701301575,5.294289588928223,0.4868067851600336,509,1629,31.2,low
Toranmal,site,Nandurbar,2024,0.814603336132204,0.6920628547668457,0.43966972827911377,2.645019054412842,0.3515231811313319,642,1666,38.5,low
Bhandardara,site,Ahmednagar,2024,0.8558213975694444,0.7888711094856262,0.39732101559638977,3.1384286880493164,0.31234822953714414,1008,1647,61.2,low
Harihareshwar,site,Raigad,2024,0.8772027305434168,0.7002615928649902,0.35614293813705444,4.410221099853516,0.579091976125327,497,888,56.0,low
Yawal Wildlife Sanctuary,site,Jalgaon,2024,0.7924146222638654,0.5597299933433533,0.4093245267868042,4.900716304779053,0.6692268873806037,111,982,11.3,low
Melghat Tiger Reserve,site,Amravati,2024,0.5453712756817157,0.5123053789138794,0.38285619020462036,0.8263624906539917,0.11487266866449104,39,1664,2.3,low
Bhimashankar,site,Pune,2024,0.9144555147362765,0.822295606136322,0.50633305311203,3.5640270709991455,0.3248681482147042,756,1641,46.1,low
